screen,proposed_key,english,te (Telugu),hi (Hindi),ta (Tamil),kn (Kannada),mr (Marathi),ml (Malayalam),gu (Gujarati),bn (Bangla),pa (Punjabi)
Profile,profile.gotra,Gotra,,,,,,,,,
Profile,profile.nakshatra,Nakshatra,,,,,,,,,
Profile,profile.rashi,Rashi,,,,,,,,,
Profile,profile.editProfile,Edit Profile,,,,,,,,,
Profile,profile.saveChanges,Save Changes,,,,,,,,,
Profile,profile.saveSuccess,Profile saved successfully!,,,,,,,,,
Profile,profile.vedicInfo,Vedic Information,,,,,,,,,
Profile,profile.familyMembers,Family Members,,,,,,,,,
Profile,profile.addMember,Add Member,,,,,,,,,
Profile,profile.addFamilyMember,Add Family Member,,,,,,,,,
Profile,profile.relationship,Relationship,,,,,,,,,
Profile,profile.noFamily,No family members added yet,,,,,,,,,
Profile,profile.rel.spouse,Spouse,,,,,,,,,
Profile,profile.rel.son,Son,,,,,,,,,
Profile,profile.rel.daughter,Daughter,,,,,,,,,
Profile,profile.rel.father,Father,,,,,,,,,
Profile,profile.rel.mother,Mother,,,,,,,,,
Profile,profile.rel.other,Other,,,,,,,,,
Profile,profile.reschedule,Reschedule,,,,,,,,,
Profile,profile.rebook,Rebook this service,,,,,,,,,
Profile,profile.noBookings,No bookings found.,,,,,,,,,
Profile,profile.noDonations,No donations yet.,,,,,,,,,
Profile,profile.totalBookings,Total Bookings,,,,,,,,,
Profile,profile.totalDonations,Total Donations,,,,,,,,,
Profile,profile.taxSummary,Tax Summary,,,,,,,,,
Profile,profile.downloadReceipt,Download Receipt,,,,,,,,,
Profile,profile.preferredLanguage,Preferred Language,,,,,,,,,
Profile,profile.commPreferences,Communication Preferences,,,,,,,,,
Profile,profile.pushNotifications,Push Notifications,,,,,,,,,
Profile,profile.emailNotifications,Email Notifications,,,,,,,,,
Profile,profile.smsAlerts,SMS Alerts,,,,,,,,,
Profile,profile.whatsappUpdates,WhatsApp Updates,,,,,,,,,
Profile,profile.spiritualPreferences,Spiritual Preferences,,,,,,,,,
Profile,profile.preferredDeities,Preferred Deities,,,,,,,,,
Profile,profile.dietaryRestrictions,Dietary Restrictions (for Prasadam),,,,,,,,,
Profile,profile.dataPrivacy,Data & Privacy,,,,,,,,,
Profile,profile.exportData,Export My Data,,,,,,,,,
Profile,profile.deleteAccount,Delete Account,,,,,,,,,
Profile,profile.deleteConfirmTitle,Delete your account?,,,,,,,,,
Profile,profile.deleteConfirmBody,"This permanently deletes your devotee account and personal profile (name, contact details, family members, and preferences). This cannot be undone. Your past donation records are retained by the temple for tax/accounting purposes but are no longer linked to you.",,,,,,,,,
Profile,profile.deleteConfirmButton,Delete My Account,,,,,,,,,
Profile,common.cancel,Cancel,,,,,,,,,
Login,auth.devoteePortal,Devotee Portal,,,,,,,,,
Login,auth.createAccountSubtitle,"Create your devotee account to manage services, donations & more",,,,,,,,,
Login,auth.welcomeBack,Welcome Back,,,,,,,,,
Login,auth.signInSubtitle,"Sign in to view bookings, donations, and your family details.",,,,,,,,,
Login,auth.signIn,Sign In,,,,,,,,,
Login,auth.signUp,Sign Up,,,,,,,,,
Login,auth.forExisting,For existing devotees,,,,,,,,,
Login,auth.forFirstTime,For first-time devotees,,,,,,,,,
Login,auth.chooseMethod,Choose sign-in method,,,,,,,,,
Login,auth.phone,Phone,,,,,,,,,
Login,auth.email,Email,,,,,,,,,
Login,auth.phoneNumber,Phone Number,,,,,,,,,
Login,auth.emailAddress,Email Address,,,,,,,,,
Login,auth.createWithPhone,Create Account with Phone,,,,,,,,,
Login,auth.continueWithPhone,Continue with Phone,,,,,,,,,
Login,auth.sendSignInLink,Send Sign-In Link,,,,,,,,,
Login,auth.contactWhatsApp,Contact via WhatsApp,,,,,,,,,
Login,auth.enterCode,Enter the verification code from the email,,,,,,,,,
Login,auth.verify,Verify,,,,,,,,,
Login,auth.resendCode,Resend Code,,,,,,,,,
Login,auth.usePhoneInstead,Use Phone Instead,,,,,,,,,
Login,auth.useDifferentEmail,Use a different email,,,,,,,,,
Login,auth.invalidPhone,Please enter a valid phone number (e.g. (512) 555-0123).,,,,,,,,,
Login,auth.termsNotice,"By signing in, you agree to our Terms & Privacy Policy",,,,,,,,,
